,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
88,8728-12701,0.0,0.416069456171,0.416069456171,9.13160334419,9.13160334419,207.386584407,207.386584407,1.12758145939,-20.76075,-18.0022
89,8145-12701,0.0,1.31280795217,1.31280795217,29.6673631454,29.6673631454,207.405531899,207.405531899,1.11188204683,-19.7899,-16.87015
90,8149-12701,0.0,1.28275610548,1.28275610548,9.97691532375,9.97691532375,234.964116765,234.964116765,1.22551928783,-19.7925,-18.0625
91,8713-12701,0.0,0.465033731443,0.465033731443,36.4643205464,36.4643205464,274.513252839,274.513252839,1.26145387905,-21.40425,-18.77635
92,8084-12701,0.0,1.36791063186,1.36791063186,35.9064273179,35.9064273179,206.827035931,206.827035931,1.15306122449,-19.0904,-17.35115
93,8461-12701,0.0,0.891244064542,0.891244064542,13.8821364578,13.8821364578,413.981108496,413.981108496,1.39130434783,-23.20665,-18.86515
94,8721-12701,0.0,0.281899273874,0.281899273874,-29.2307817205,-29.2307817205,353.532307499,353.532307499,1.41836734694,-21.8112,-17.39865
95,8725-12701,0.0,0.76897342885,0.76897342885,64.209099811,64.209099811,206.463740859,206.463740859,1.22485207101,-20.808,-17.5395
96,10001-12701,0.0,0.798495330849,0.798495330849,6.21446261495,6.21446261495,207.615833688,207.615833688,1.15847860539,-19.26895,-17.2818
97,8456-12701,0.0,0.726211662271,0.726211662271,5.24266564901,5.24266564901,202.1038002,202.1038002,1.1818891491,-19.857,-17.9029
98,8455-12701,0.0,2.23182335062,2.23182335062,16.4302299009,16.4302299009,209.831395278,209.831395278,1.21255060729,-20.2597,-18.3587
99,8568-12701,0.0,1.68487864158,1.68487864158,-9.650765622,-9.650765622,199.36928501,199.36928501,1.33103448276,-19.3143,-15.4419
100,8462-12701,0.0,1.08776435293,1.08776435293,9.95902213631,9.95902213631,208.799138774,208.799138774,1.20695652174,-18.9626,-16.9227
101,8255-12701,0.0,0.384930483888,0.384930483888,9.96195456189,9.96195456189,229.442277137,229.442277137,1.16058394161,-19.65565,-16.4294
102,8449-12701,0.0,0.40930926216,0.40930926216,-0.224212638587,-0.224212638587,209.425775906,209.425775906,1.185,-17.8579,-16.1603
103,8338-12701,0.0,1.75186034437,1.75186034437,4.40835751997,4.40835751997,204.042165339,204.042165339,1.20218206614,-20.0114,-18.19325
104,8450-12701,0.0,0.541614964355,0.541614964355,-5.32999336175,-5.32999336175,190.942740646,190.942740646,1.19325551232,-19.54495,-17.305
105,8454-12701,0.0,1.4047447109,1.4047447109,22.8608049613,22.8608049613,214.856230037,214.856230037,1.32722513089,-19.9614,-18.3197
106,8716-12701,0.0,0.74376031026,0.74376031026,-11.92918911,-11.92918911,193.301923823,193.301923823,1.16379310345,-16.95785,-14.74775
107,8717-12701,0.0,0.542460599273,0.542460599273,6.98042800377,6.98042800377,210.746838676,210.746838676,1.16806722689,-19.79035,-16.69855
108,8239-12701,0.0,0.195609092256,0.195609092256,60.2635783258,60.2635783258,337.140575087,337.140575087,1.8,-22.7326,-18.03115
109,8724-12701,0.0,1.05761433966,1.05761433966,-11.0616851405,-11.0616851405,224.419128452,224.419128452,1.19786729858,-20.80275,-17.93685
110,8714-12701,0.0,0.152321566349,0.152321566349,-3.59424915167,-3.59424915167,300.718849847,300.718849847,1.66666666667,-22.75315,-18.60905
111,8241-12701,0.0,0.625776080905,0.625776080905,11.4715352994,11.4715352994,226.701982715,226.701982715,1.19577205882,-18.7326,-16.64775
112,8712-12701,0.0,0.381434254045,0.381434254045,8.51757703444,8.51757703444,218.947051044,218.947051044,1.32561851556,-20.70535,-17.7838
113,8720-12701,0.0,0.693334622248,0.693334622248,-76.9610727618,-76.9610727618,575.314584397,575.314584397,1.93274853801,-22.8682,-18.95605
114,8591-12701,0.0,0.437980306584,0.437980306584,19.3911158257,19.3911158257,213.36424335,213.36424335,1.18784029038,-19.1859,-17.3384
115,8592-12701,0.0,1.8208142498,1.8208142498,13.5830009763,13.5830009763,198.990963575,198.990963575,1.12071005917,-18.86325,-17.29115
116,8949-12701,0.0,0.202118521339,0.202118521339,40.3612285366,40.3612285366,164.884571786,164.884571786,1.12903225806,-18.8171,-15.9072
117,8952-12701,0.0,0.67608537195,0.67608537195,43.9149451417,43.9149451417,249.879292815,249.879292815,1.17202572347,-20.78715,-17.1191
118,8600-12701,0.0,1.2196610313,1.2196610313,38.1739652686,38.1739652686,218.813112964,218.813112964,1.2013552759,-20.6218,-17.78445
119,8934-12701,0.0,0.711082567801,0.711082567801,32.7386586591,32.7386586591,232.806844314,232.806844314,1.20989884393,-21.24655,-18.9043
120,8333-12701,0.0,4.51342348988,4.51342348988,72.084664588,72.084664588,342.244908154,342.244908154,1.51458333333,-22.7933,-18.7218
121,8979-12701,0.0,1.39999575778,1.39999575778,36.1247874553,36.1247874553,235.351795342,235.351795342,1.24668325041,-22.2308,-19.38335
122,8595-12701,0.0,0.891933538573,0.891933538573,-27.598699175,-27.598699175,148.840426749,148.840426749,1.30357142857,-22.13535,-18.1244
123,8987-12701,0.0,9.59760431512,9.59760431512,-6.78064028762,-6.78064028762,169.069913674,169.069913674,1.6170212766,-23.1073,-19.2338
124,8942-12701,0.0,0.361683959368,0.361683959368,4.02991582091,4.02991582091,240.674660808,240.674660808,1.14935064935,-21.9667,-17.7757
125,8948-12701,0.0,0.813842424405,0.813842424405,21.6950685049,21.6950685049,204.744978572,204.744978572,1.16144200627,-19.80885,-17.51095
126,8939-12701,0.0,3.82819779536,3.82819779536,-33.6868720795,-33.6868720795,199.957017095,199.957017095,1.47908121411,-22.89385,-19.0541
127,8946-12701,0.0,8.90448976137,8.90448976137,-54.9064353691,-54.9064353691,92.1839342786,92.1839342786,1.17142857143,-21.9348,-17.00055
128,8945-12701,0.0,1.37279962055,1.37279962055,17.8226742476,17.8226742476,201.389285085,201.389285085,1.14087301587,-20.4301,-18.78815
129,8980-12701,0.0,0.794391644788,0.794391644788,23.3926289144,23.3926289144,199.648349582,199.648349582,1.13189600507,-19.339,-17.334
130,8597-12701,0.0,0.340273170245,0.340273170245,-0.645504539106,-0.645504539106,209.000778814,209.000778814,1.20637119114,-20.91935,-18.33275
131,8931-12701,0.0,0.532462254547,0.532462254547,4.08842991781,4.08842991781,211.688542131,211.688542131,1.12603437301,-20.18855,-18.16675
132,9029-12701,0.0,0.792302101485,0.792302101485,8.86082273359,8.86082273359,263.242448452,263.242448452,1.17613636364,-20.9103,-17.06175
133,9042-12701,0.0,1.02957119401,1.02957119401,28.9540042222,28.9540042222,267.414120884,267.414120884,1.20991735537,-19.7497,-16.976
134,9026-12701,0.0,2.11695360382,2.11695360382,24.9868667012,24.9868667012,374.662285318,374.662285318,1.28187919463,-21.75125,-17.25265
135,9002-12701,0.0,1.18843573416,1.18843573416,43.5093324872,43.5093324872,211.035196875,211.035196875,1.26592797784,-21.2833,-17.16795
136,8613-12701,0.0,0.655275006597,0.655275006597,0.385694725288,0.385694725288,222.489643951,222.489643951,1.18377693283,-20.2131,-17.296
137,9041-12701,0.0,0.630107083591,0.630107083591,25.1862017978,25.1862017978,262.787713692,262.787713692,1.15754779169,-22.25755,-19.86535
138,8553-12701,0.0,0.32562655441,0.32562655441,6.45418947578,6.45418947578,181.555664786,181.555664786,1.1017369727,-18.88225,-16.0516
