,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
32,8611-12701,0.653859637034,0.223867267066,62.3003195399,-21.5654951585,210.862619813,180.910543135,1.09990043146,0.0
33,8131-12701,0.992520507318,0.197860249598,61.1022364727,-32.3482427625,210.862619813,189.297124605,1.20280332895,0.0
34,8138-12701,0.366502833763,0.110394224557,62.3003195399,-32.3482427625,213.258785947,174.920127799,1.17042330951,0.0
35,8081-12701,0.381983305733,0.0632217858241,120.407348295,-52.11661337,293.530351444,54.5127795539,1.15695067265,0.0
36,8452-12701,0.254336651127,0.110336669678,44.3290735331,-2.39616608455,202.476038343,150.958466457,1.1209039548,0.0
37,8132-12701,0.089009593538,0.0170029039375,115.31549526,-124.600638931,175.219648566,25.1597444095,1.50925925926,0.0
38,8134-12701,0.342825655164,0.13628340921,51.5175719358,-31.1501596954,218.051118216,183.306709269,1.14109647259,0.0
39,8137-12701,0.353516233545,0.101062690484,97.0447284863,-70.6869009103,214.456869014,170.726837064,1.07204116638,0.0
40,8247-12701,0.764353955896,0.180551113505,28.7539936605,-31.1501596954,225.239616618,192.891373806,1.15193133047,0.0
41,8140-12701,0.0445158743773,0.0169431345068,44.3290735331,-21.5654951585,68.2907348258,19.1693290739,1.05882352941,0.0
42,8626-12701,0.33409796203,0.102586245793,175.219648616,-13.1789136886,322.284345055,146.166134188,1.13043478261,0.0
43,8250-12701,0.536412895421,0.123315302362,-2.39616608455,-183.306709219,556.21006391,163.837859428,1.43243243243,0.0
44,8612-12701,0.510074052924,0.167407843875,73.6821086775,-92.2523961185,215.654952081,177.915335467,1.16,0.0
45,8616-12701,0.232144208978,0.0549034234923,88.0591054829,-150.658945641,455.571086272,79.9720447302,1.985,0.0
46,8141-12701,0.797164570752,0.294741139778,135.682907401,-47.9233226351,231.230031954,198.881789142,1.17115027829,0.0
47,8253-12701,0.310485575852,0.110350844777,99.4408946205,-117.711661295,225.239616618,167.43210863,1.17675159236,0.0
48,8263-12701,0.387449827587,0.168984507519,67.0926518083,-55.1118210378,233.626198088,188.099041538,1.09940526763,0.0
49,8254-12701,0.232862270435,0.115192050948,58.7060703385,-20.3674120913,258.785942498,146.465654955,1.2245508982,0.0
50,8448-12701,0.118096446474,0.0656125807858,-47.9233226351,-95.8466453198,122.204472846,74.2811501614,1.32142857143,0.0
51,8548-12701,0.361949021704,0.114084472937,23.9616613921,-167.731629347,335.463258793,188.099041538,1.18762088975,0.0
52,8465-12701,0.514204069444,0.199069493379,46.7252396673,-13.1789136886,239.616613424,188.099041538,1.12318286151,0.0
53,8325-12701,0.277532173184,0.144973373487,89.8562300836,-50.3194887693,225.239616618,173.722044732,1.20576368876,0.0
54,8555-12701,0.13196366856,0.0539516373812,49.1214058016,-62.899360974,159.94408946,28.7539936109,1.51231527094,0.0
55,8485-12701,1.13637171786,0.180281410555,57.5079872714,-16.77316289,206.070287544,179.712460068,1.20278450363,0.0
56,8551-12701,0.459729800227,0.167936181176,101.537539988,-81.4696485144,273.162939303,189.297124605,1.2330905307,0.0
57,8484-12701,0.818657296524,0.0277188580895,168.929712513,-29.9520766283,100.638977638,13.1789137383,1.84306569343,0.0
58,8447-12701,0.716727656693,0.249754077614,65.8945687412,-32.3482427625,225.239616618,184.504792336,1.20839469809,0.0
59,8486-12701,0.24777175208,0.0893512379619,113.817891426,-105.431309857,313.897763585,124.001597447,1.19627749577,0.0
60,8318-12701,0.883054488056,0.164890880947,118.310702928,-108.726038291,470.247603844,105.431309906,1.26551724138,0.0
61,8466-12701,0.697101220356,0.168338128734,62.0007987731,-40.7348242324,222.843450484,184.804313103,1.10544217687,0.0
62,8554-12701,0.21715738792,0.106814914136,146.166134238,-34.7444088968,279.153354639,159.345047927,1.34207240949,0.0
63,8464-12701,0.206060194078,0.106903172207,77.8753994124,-59.9041533063,216.853035149,154.552715658,1.22880215343,0.0
64,8320-12701,0.537583180413,0.142787493015,71.2859425433,-74.2811501117,219.249201283,178.514377001,1.23083700441,0.0
65,8312-12701,0.748185016499,0.173859020845,29.9520767277,-16.77316289,202.476038343,176.118210866,1.15183571873,0.0
66,8550-12701,0.457498079863,0.137502118119,91.0543131507,-92.2523961185,303.115015981,180.910543135,1.15468940317,0.0
67,8335-12701,0.203301873173,0.109749139522,146.166134238,-94.6485622527,251.597444095,154.552715658,1.2052154195,0.0
68,7957-12701,0.392007149035,0.132497764204,45.5271566002,-33.5463258296,218.051118216,172.523961665,1.15796178344,0.0
69,8313-12701,0.898563369352,0.273206750982,-35.9424919639,-222.843450434,231.230031954,196.485623007,1.14742698192,0.0
70,7962-12701,0.491456209811,0.166602448204,34.7444089961,-2.39616608455,221.645367417,183.306709269,1.15083798883,0.0
71,8330-12701,0.461991000618,0.207881819667,104.233226889,-40.7348242324,216.853035149,166.53354633,1.21425109064,0.0
72,8315-12701,0.161450315102,0.0457016930997,-41.3338657659,-110.822683659,104.233226839,37.7396166142,1.28571428571,0.0
73,8604-12701,0.216299249481,0.114988189557,65.8945687412,-31.1501596954,258.785942498,155.750798725,1.13405088063,0.0
74,8332-12701,0.797163332384,0.25922731172,49.1214058016,-31.1501596954,203.67412141,182.108626202,1.1222826087,0.0
75,7992-12701,0.571162738678,0.155187471453,79.0734824795,-9.58466448726,207.268370612,162.939297128,1.15367483296,0.0
76,8603-12701,0.644266310146,0.156138318697,98.2428115534,-79.0734823802,1196.88498405,239.616613424,1.99115044248,0.0
77,7960-12701,0.333792693656,0.165456619692,83.865814748,-58.7060702391,232.428115021,182.108626202,1.12376873662,0.0
78,8655-12701,0.387396895059,0.142787976796,34.7444089961,-35.9424919639,212.06070288,161.741214061,1.09635722679,0.0
79,8623-12701,0.509797947172,0.107922610467,3.59424925104,-25.1597443598,206.070287544,171.325878598,1.24382207578,0.0
80,8156-12701,0.511623289158,0.0812197266442,26.3578275263,-252.496006346,391.473642181,142.871405754,1.12051282051,0.0
81,8567-12701,0.292611792217,0.172501634498,40.7348243317,-20.3674120913,234.824281155,174.920127799,1.09984871407,0.0
82,8077-12701,0.279800453382,0.148553016803,55.1118211372,-19.1693290242,200.079872209,136.581469652,1.13321332133,0.0
83,8086-12701,0.126188812435,0.0702644885574,21.5654952578,-76.6773162459,229.73242812,141.37380192,1.17605633803,0.0
84,8566-12701,0.0987542003148,0.0247301999289,80.8706070802,-86.8610223164,128.194888182,37.7396166142,1.61904761905,0.0
85,8155-12701,0.297308418862,0.113224847849,112.619808359,2.39616618393,210.862619813,158.14696486,1.17374517375,0.0
86,8147-12701,0.456251410397,0.163967189043,59.9041534056,-51.5175718364,206.070287544,171.325878598,1.1210877373,0.0
87,8146-12701,0.147474918095,0.0869106480542,64.6964856741,-64.6964855747,221.645367417,135.383386584,1.11637931034,0.0
88,8728-12701,0.26222098902,0.131883423886,29.9520767277,-9.58466448726,227.635782753,167.731629397,1.12758145939,0.0
89,8145-12701,0.921040327159,0.195531277938,94.6485623521,-32.3482427625,237.22044729,182.108626202,1.11188204683,0.0
90,8149-12701,1.40355816866,0.225413835684,51.5175719358,-14.9760382893,216.853035149,189.297124605,1.22551928783,0.0
91,8713-12701,0.285477000802,0.135495696694,113.817891426,-58.7060702391,262.380191699,166.53354633,1.26145387905,0.0
92,8084-12701,0.460179573737,0.121091565324,69.4888179426,-13.1789136886,225.539137385,167.731629397,1.15306122449,0.0
93,8461-12701,0.769189169121,0.0475527733741,59.6046326388,-40.4353034656,608.925718863,35.9424920136,1.39130434783,0.0
94,8721-12701,0.277938033478,0.0478593074478,50.9185304022,-92.2523961185,440.295527166,75.1797124617,1.41836734694,0.0
95,8725-12701,0.242314450226,0.11821860068,174.021565549,-17.9712459571,208.466453679,144.968051121,1.22485207101,0.0
96,10001-12701,1.36693013729,0.181597523667,74.2811502111,-62.3003194405,221.645367417,192.891373806,1.15847860539,0.0
97,8456-12701,0.415791903934,0.150915561407,21.5654952578,-11.9808306215,215.654952081,172.523961665,1.1818891491,0.0
98,8455-12701,1.83737965371,0.273306539267,59.9041534056,-29.9520766283,219.249201283,196.485623007,1.21255060729,0.0
99,8568-12701,0.266834967264,0.0490836062931,34.7444089961,-93.4504791856,224.041533551,71.8849840271,1.33103448276,0.0
100,8462-12701,0.917010100089,0.249101226516,63.498402607,-40.7348242324,214.456869014,185.702875403,1.20695652174,0.0
101,8255-12701,0.343583958953,0.164830925281,62.8993610734,-51.5175718364,240.814696491,178.514377001,1.16058394161,0.0
102,8449-12701,0.379721454885,0.155720570186,25.1597444592,-22.7635782256,221.645367417,179.412939301,1.185,0.0
103,8338-12701,1.71319619486,0.329367825877,39.5367412646,-28.7539935612,208.466453679,191.693290739,1.20218206614,0.0
104,8450-12701,0.212145712645,0.109043532638,52.7156550029,-62.3003194405,219.249201283,143.769968054,1.19325551232,0.0
105,8454-12701,1.62062410242,0.303540390015,65.8945687412,-21.2659743917,215.654952081,196.485623007,1.32722513089,0.0
106,8716-12701,0.228694116992,0.116437749506,9.58466458664,-27.555910494,227.635782753,159.345047927,1.16379310345,0.0
107,8717-12701,0.305847424913,0.14353346938,70.6869010097,-57.2084664052,218.949680516,164.137380195,1.16806722689,0.0
108,8239-12701,0.301849342109,0.106519888906,117.112619861,-28.1549520276,383.087060711,92.2523961681,1.8,0.0
109,8724-12701,0.219054033368,0.115454742803,63.498402607,-86.2619807829,227.635782753,162.939297128,1.19786729858,0.0
110,8714-12701,0.233009259581,0.0656323662378,-12.5798721551,-45.5271565008,427.416134195,98.8418530373,1.66666666667,0.0
111,8241-12701,0.316559229421,0.150703536792,46.7252396673,-26.3578274269,227.935303519,178.514377001,1.19577205882,0.0
112,8712-12701,0.247985812788,0.133399888453,113.817891426,-87.46006385,225.239616618,166.53354633,1.32561851556,0.0
113,8720-12701,0.443685046215,0.0850630235538,100.339456921,-255.191693247,868.909744428,188.398562304,1.93274853801,0.0
114,8591-12701,0.479424256624,0.129119619605,39.5367412646,-3.59424915167,220.44728435,179.712460068,1.18784029038,0.0
115,8592-12701,1.74293503172,0.18723524667,55.1118211372,-40.7348242324,212.06070288,186.900958471,1.12071005917,0.0
116,8949-12701,0.255306907068,0.0690543456238,61.1022364727,9.58466458664,216.853035149,58.7060702888,1.12903225806,0.0
117,8952-12701,0.311224644917,0.115394922122,141.37380197,-49.1214057022,307.308306716,168.031150163,1.17202572347,0.0
118,8600-12701,0.255646201877,0.113584850418,73.0830671439,8.38658151952,236.022364222,164.137380195,1.2013552759,0.0
119,8934-12701,0.586130687569,0.208265775637,121.006389829,-65.8945686418,234.824281155,189.297124605,1.20989884393,0.0
120,8333-12701,0.379931749929,0.0407888146272,143.769968104,-31.4496804622,551.118210875,41.9329073492,1.51458333333,0.0
121,8979-12701,0.759657582171,0.192304342175,160.543131044,-75.4792331788,227.635782753,189.297124605,1.24668325041,0.0
122,8595-12701,0.0766641756867,0.0339226442033,30.2515974944,-96.1461660866,112.919329076,34.4448881797,1.30357142857,0.0
123,8987-12701,0.0941324809653,0.0405947714422,55.4113419039,-123.70207663,162.639776361,26.0583067098,1.6170212766,0.0
124,8942-12701,0.433141757576,0.0760736616126,106.03035149,-76.0782747124,400.159744418,100.638977638,1.14935064935,0.0
125,8948-12701,0.997365755634,0.322364930236,89.8562300836,-34.7444088968,214.456869014,189.297124605,1.16144200627,0.0
126,8939-12701,0.301586242178,0.073376373358,118.610223694,-150.359424874,254.592651763,38.3386581478,1.47908121411,0.0
127,8946-12701,0.15631521522,0.0585595048415,-13.1789136886,-112.619808259,108.426517574,35.34345048,1.17142857143,0.0
128,8945-12701,1.6750682489,0.479107432959,43.130990466,-9.58466448726,204.872204477,190.495207672,1.14087301587,0.0
129,8980-12701,0.366701747955,0.136892410217,59.9041534056,-14.3769967557,206.070287544,165.335463262,1.13189600507,0.0
130,8597-12701,0.207984421092,0.119482598921,69.4888179426,-65.8945686418,219.249201283,162.939297128,1.20637119114,0.0
131,8931-12701,0.358137133324,0.146655205762,62.3003195399,-58.7060702391,218.051118216,169.528753997,1.12603437301,0.0
132,9029-12701,0.265058013488,0.113155681502,61.7012780063,-53.9137379707,322.284345055,150.65894569,1.17613636364,0.0
133,9042-12701,0.459678669211,0.139073487496,135.383386634,-64.6964855747,267.172523967,180.910543135,1.20991735537,0.0
134,9026-12701,0.944462315042,0.311796806289,189.297124654,-121.006389729,499.301118222,239.01757189,1.28187919463,0.0
135,9002-12701,0.266558420353,0.0607718811639,109.025559157,5.99041538528,269.568690102,89.8562300339,1.26592797784,0.0
136,8613-12701,0.545542552166,0.230720279883,81.4696486138,-86.2619807829,244.408945692,186.900958471,1.18377693283,0.0
137,9041-12701,0.696450743961,0.346053900534,68.2907348755,-16.77316289,256.389776363,206.070287544,1.15754779169,0.0
138,8553-12701,0.274350164749,0.0887191181222,71.2859425433,-65.8945686418,208.466453679,141.972843454,1.1017369727,0.0
139,7443-12702,0.224416119011,0.112282931782,75.4792332782,1.19808311681,220.44728435,160.543130994,1.1773962804,0.0
140,7495-12702,0.437006890671,0.194414460067,83.865814748,-49.420926469,224.041533551,182.108626202,1.10412667946,0.0
141,7815-12702,0.432395462869,0.138825613193,56.6094249711,-68.2907347761,213.258785947,177.316293934,1.18907563025,0.0
142,8341-12702,0.449814569937,0.129888072055,75.4792332782,-67.092651709,536.142172536,229.432907353,1.21797323136,0.0
143,8329-12702,0.464429564161,0.154347535217,16.7731629894,-26.3578274269,215.654952081,178.514377001,1.16099249856,0.0
144,8243-12702,0.312268922682,0.106686817141,16.7731629894,-17.9712459571,214.456869014,159.345047927,1.1234939759,0.0
145,8439-12702,0.198362342089,0.0940790611103,129.392971299,-74.8801916452,271.964856236,165.335463262,1.22792607803,0.0
146,8326-12702,0.331659133556,0.151088036008,65.8945687412,-23.9616612927,221.645367417,179.712460068,1.19608778626,0.0
147,8602-12702,0.307335996265,0.113590606231,39.5367412646,-20.3674120913,305.511182115,158.14696486,1.18791946309,0.0
148,8588-12702,0.760401524074,0.31294602873,39.5367412646,-21.5654951585,230.031948887,202.476038343,1.12745786517,0.0
149,8615-12702,1.05567905479,0.327996502948,33.546325929,-41.9329072995,222.843450484,195.28753994,1.15225643189,0.0
150,7991-12702,0.763488776659,0.0752138045057,95.8466454192,15.5750799222,632.587859439,149.76038339,1.64102564103,0.0
151,7977-12702,0.332833429788,0.035936224125,97.3442492531,-22.4640574588,580.770766786,52.4161341864,1.93181818182,0.0
152,7990-12702,0.150898660657,0.0757039212228,94.6485623521,-78.7739616134,238.418530357,99.4408945709,1.20796460177,0.0
153,8459-12702,0.739701373628,0.146364110155,44.3290735331,-5.99041528591,213.258785947,186.900958471,1.17576509512,0.0
154,8483-12702,0.273906017219,0.0999499353022,32.3482428619,-0.299520717092,245.007987226,188.398562304,1.09523809524,0.0
155,8618-12702,0.0711585608742,0.0266668138004,46.1261981338,-127.895367365,135.083865818,32.0487220454,1.32142857143,0.0
156,8317-12702,0.340716003219,0.0575525369492,41.3338658653,-57.8075079388,408.546325888,82.6677316312,1.3,0.0
157,8261-12702,0.305091537389,0.0481720290415,322.284345105,-16.77316289,256.090255597,45.5271565505,1.89608574091,0.0
158,8451-12702,0.595391771078,0.129712371844,169.22923328,28.7539936605,480.730830681,149.76038339,1.19836956522,0.0
159,8482-12702,0.386722264995,0.0589651345912,25.1597444592,-74.2811501117,355.830670934,69.4888178929,1.31683168317,0.0
160,8082-12702,0.389259470521,0.175062267674,206.669329128,-65.8945686418,343.849840263,209.664536746,1.27516778523,0.0
161,8143-12702,0.190149739409,0.103066419316,93.1509585182,-68.2907347761,233.626198088,166.833067096,1.23731343284,0.0
162,8256-12702,1.22351031476,0.160710683681,62.3003195399,-9.58466448726,206.070287544,189.297124605,1.15477386935,0.0
163,8249-12702,0.21745114191,0.0810288456445,71.8849840768,-42.2324280662,234.824281155,152.156549524,1.2375,0.0
164,8274-12702,1.01936938182,0.129646548311,64.6964856741,-2.39616608455,200.079872209,179.712460068,1.21565217391,0.0
165,8258-12702,0.605900832453,0.155243354649,85.0638978151,-41.9329072995,207.268370612,182.108626202,1.13014119091,0.0
166,8259-12702,0.514548241222,0.249559517325,91.0543131507,-68.2907347761,218.350638982,186.900958471,1.0988372093,0.0
167,8244-12702,0.408762189131,0.177079216925,26.3578275263,-14.3769967557,208.466453679,180.910543135,1.13370473538,0.0
168,8257-12702,1.80573297776,0.320301062978,69.4888179426,-51.5175718364,216.853035149,200.079872209,1.15977791487,0.0
169,8440-12702,0.0653554966982,0.0252259126599,44.3290735331,-96.1461660866,112.020766776,40.734824282,1.63513513514,0.0
170,8453-12702,0.269897585837,0.124883240993,115.015974493,-39.5367411652,239.01757189,162.939297128,1.10411418976,0.0
171,8611-12702,0.393524311926,0.209239465286,35.9424920633,-14.3769967557,234.824281155,178.514377001,1.08419243986,0.0
172,8131-12702,0.842139384222,0.0401426926141,55.1118211372,-73.0830670446,1395.76677319,61.1022364231,1.66165413534,0.0
173,8083-12702,1.00078193138,0.403226552037,93.450479285,-10.7827475544,251.597444095,210.862619813,1.23933975241,0.0
174,8138-12702,0.704584585744,0.136169878844,135.383386634,-95.8466453198,248.003194894,203.67412141,1.26653504442,0.0
175,8081-12702,0.282361267623,0.114631761783,31.1501597948,-1.19808301743,212.95926518,165.335463262,1.11713665944,0.0
176,8452-12702,0.466756521934,0.183130694671,116.21405756,-33.2468050629,226.437699685,182.108626202,1.20461095101,0.0
177,8132-12702,0.1874753232,0.10100797916,77.8753994124,-20.3674120913,249.201277961,159.345047927,1.13904761905,0.0
178,8134-12702,0.310342195227,0.136835386055,112.619808359,-51.5175718364,261.182108632,191.693290739,1.1071919377,0.0
179,8137-12702,0.231759358079,0.129498249354,82.6677316809,-43.1309903666,231.230031954,179.712460068,1.1313312416,0.0
180,8247-12702,0.583911120402,0.146679085593,68.2907348755,-96.7452076202,216.853035149,181.210063902,1.12395309883,0.0
181,8140-12702,0.384815354776,0.0716943666725,62.3003195399,-81.4696485144,249.201277961,153.354632591,1.2380952381,0.0
182,8626-12702,0.62174442565,0.130610557084,63.7979233738,-61.1022363734,406.150159753,191.393769972,1.17056074766,0.0
183,8135-12702,0.219433100768,0.0996398632356,117.412140627,-40.7348242324,225.239616618,167.731629397,1.19513755598,0.0
184,8250-12702,0.549932064656,0.17061589658,82.9672524477,-61.1022363734,209.664536746,183.306709269,1.16830985915,0.0
185,8612-12702,0.310934414932,0.15887381966,106.629393023,-89.8562299842,251.597444095,183.306709269,1.14705882353,0.0
186,8141-12702,0.268588111447,0.140624546198,126.996805164,-58.7060702391,262.380191699,190.495207672,1.11906092789,0.0
187,8253-12702,0.317276604886,0.0902576495335,135.383386634,-114.41693286,451.07827477,147.963258789,1.38766519824,0.0
188,8254-12702,0.660931437093,0.165352500152,83.5662939812,-64.6964855747,227.635782753,188.099041538,1.09139784946,0.0
189,8448-12702,1.6341159273,0.28519918605,159.345047976,37.1405751304,219.249201283,197.683706075,1.11901840491,0.0
190,8548-12702,0.24359140672,0.128997473033,46.7252396673,-52.7156549035,256.389776363,178.514377001,1.21125206839,0.0
191,8549-12702,0.335253286038,0.167706864059,159.345047976,-76.6773162459,259.984025565,194.089456873,1.24613455913,0.0
192,8465-12702,0.588400084494,0.179420488821,92.2523962178,-35.0439296635,225.539137385,188.099041538,1.11560693642,0.0
193,8552-12702,4.60387929165,0.184714147936,61.1022364727,-52.7156549035,219.249201283,202.476038343,1.2942920682,0.0
194,8325-12702,1.65040979587,0.200893066169,51.5175719358,-19.1693290242,227.635782753,198.881789142,1.28409650419,0.0
195,8481-12702,0.365037946274,0.136620460506,124.60063903,-117.412140528,246.206070293,189.297124605,1.15716272601,0.0
196,8485-12702,0.374900195724,0.150564480358,20.3674121907,-49.1214057022,234.824281155,184.504792336,1.15105740181,0.0
197,8551-12702,0.284264630575,0.1216005022,161.441693344,-34.7444088968,289.337060709,176.118210866,1.25796178344,0.0
198,8447-12702,1.46636131619,0.388669101478,87.4600639494,-27.555910494,246.805111826,210.862619813,1.24924562462,0.0
199,8486-12702,0.411415071254,0.129954539938,28.4544728938,-37.140575031,220.44728435,168.929712464,1.16310160428,0.0
200,8466-12702,0.597089610012,0.226214402076,86.2619808822,-44.3290734337,233.626198088,197.683706075,1.15296880242,0.0
201,8554-12702,0.212985062973,0.105421373809,31.1501597948,-41.9329072995,253.993610229,153.354632591,1.1880733945,0.0
202,8312-12702,0.394461433804,0.173268346057,94.6485623521,-41.9329072995,261.182108632,192.891373806,1.1209398756,0.0
203,8550-12702,0.47158924676,0.125895720881,147.963258839,-70.6869009103,338.458466461,163.538338662,1.36842105263,0.0
204,8335-12702,0.267238904092,0.116674401997,23.9616613921,-10.7827475544,220.44728435,158.14696486,1.09208211144,0.0
205,8606-12702,0.0801017119734,0.0173220461302,94.3490415853,-17.9712459571,88.6581469668,19.1693290739,1.25675675676,0.0
206,7957-12702,1.22921228114,0.413007925562,68.2907348755,-50.3194887693,234.824281155,206.070287544,1.15348439504,0.0
207,8313-12702,1.52704562603,0.366610198396,80.2715655466,-65.8945686418,240.814696491,208.466453679,1.12779661017,0.0
208,7962-12702,0.656055306213,0.210928147511,99.4408946205,-42.8314695998,224.041533551,190.495207672,1.22731614136,0.0
209,8330-12702,1.25519784399,0.282954790844,140.175718903,2.39616618393,274.660543137,224.940095852,1.29752851711,0.0
210,8315-12702,1.2281165033,0.0513822640402,79.6725240131,-75.4792331788,1408.3466454,36.5415335471,1.47058823529,0.0
211,7992-12702,0.529301791859,0.0908072813422,117.412140627,-16.77316289,464.856230042,135.383386584,1.32786885246,0.0
212,8603-12702,0.0821216487622,0.0574621143282,-23.0630989923,-140.774760337,112.320287542,40.734824282,1.2,0.0
213,8601-12702,0.426545854487,0.191546066927,61.1022364727,-9.58466448726,221.645367417,176.118210866,1.08147632312,0.0
214,8655-12702,0.568443454283,0.228223480428,61.1022364727,-79.0734823802,221.645367417,179.712460068,1.07770961145,0.0
215,8156-12702,0.239099104874,0.106885307701,44.3290735331,-26.3578274269,222.843450484,170.127795531,1.09900497512,0.0
216,8567-12702,0.227317858408,0.0342190596981,127.296325931,-94.6485622527,401.956869018,23.9616613424,1.41304347826,0.0
217,8077-12702,0.4349129821,0.18225619656,106.629393023,-76.6773162459,249.201277961,192.891373806,1.09583333333,0.0
218,8078-12702,0.380919830732,0.150036764394,82.6677316809,-56.3099041049,222.843450484,178.514377001,1.11168164313,0.0
219,8086-12702,1.54519169389,0.188083846963,-89.8562299842,-174.92012775,222.843450484,202.476038343,1.19093610698,0.0
220,8566-12702,1.10874581109,0.127291309018,73.0830671439,-49.1214057022,237.22044729,197.683706075,1.17126546147,0.0
221,8155-12702,0.11611897713,0.0535264076582,146.465655005,-69.78833861,154.852236425,43.7300319498,1.26923076923,0.0
222,8147-12702,0.108798652949,0.0350385760145,127.595846698,-62.0007986737,133.586261984,28.7539936109,1.15957446809,0.0
223,8146-12702,0.438217688355,0.176420263154,154.552715708,-140.175718803,268.969648568,197.683706075,1.20352149146,0.0
224,8728-12702,0.512854869485,0.100757183918,76.9768371121,-64.6964855747,566.39376998,145.866613422,1.17647058824,0.0
225,8145-12702,0.12908807594,0.0486930521888,97.9432907867,-67.092651709,75.4792332285,48.5223642183,1.5,0.0
226,8149-12702,0.265781776321,0.0947113202314,95.8466454192,-4.79233221879,231.230031954,113.817891376,1.22546419098,0.0
227,8713-12702,0.974810072259,0.233991632638,73.9816294443,-17.9712459571,216.853035149,190.495207672,1.13039014374,0.0
228,8726-12702,0.295092608937,0.152687358704,144.968051171,-91.0543130513,283.945686907,179.712460068,1.29906542056,0.0
229,8719-12702,4.09376881436,0.257341796382,41.9329073988,-68.2907347761,256.389776363,216.853035149,1.27207899067,0.0
230,8461-12702,0.486350497942,0.144291828621,53.91373807,-20.3674120913,228.83386582,183.306709269,1.09206349206,0.0
231,8721-12702,0.394992477688,0.144502365979,103.933706122,-62.3003194405,248.003194894,196.485623007,1.1404494382,0.0
