Unnamed: 0,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
166,8259-12702,0.0,0.514548241222,0.249559517325,91.0543131507,-68.2907347761,218.350638982,186.900958471,1.0988372093,-19.46205,-16.86665
167,8244-12702,0.0,0.408762189131,0.177079216925,26.3578275263,-14.3769967557,208.466453679,180.910543135,1.13370473538,-20.04725,-18.1928
168,8257-12702,0.0,1.80573297776,0.320301062978,69.4888179426,-51.5175718364,216.853035149,200.079872209,1.15977791487,-19.16885,-17.30195
169,8440-12702,0.0,0.0653554966982,0.0252259126599,44.3290735331,-96.1461660866,112.020766776,40.734824282,1.63513513514,-22.45605,-17.90475
170,8453-12702,0.0,0.269897585837,0.124883240993,115.015974493,-39.5367411652,239.01757189,162.939297128,1.10411418976,-19.1354,-16.8227
171,8611-12702,0.0,0.393524311926,0.209239465286,35.9424920633,-14.3769967557,234.824281155,178.514377001,1.08419243986,-20.32655,-17.83895
172,8131-12702,0.0,0.842139384222,0.0401426926141,55.1118211372,-73.0830670446,1395.76677319,61.1022364231,1.66165413534,-22.89415,-18.64895
173,8083-12702,0.0,1.00078193138,0.403226552037,93.450479285,-10.7827475544,251.597444095,210.862619813,1.23933975241,-22.37365,-20.42445
174,8138-12702,0.0,0.704584585744,0.136169878844,135.383386634,-95.8466453198,248.003194894,203.67412141,1.26653504442,-20.38425,-17.52345
175,8081-12702,0.0,0.282361267623,0.114631761783,31.1501597948,-1.19808301743,212.95926518,165.335463262,1.11713665944,-18.38605,-16.5997
176,8452-12702,0.0,0.466756521934,0.183130694671,116.21405756,-33.2468050629,226.437699685,182.108626202,1.20461095101,-19.71365,-16.42975
177,8132-12702,0.0,0.1874753232,0.10100797916,77.8753994124,-20.3674120913,249.201277961,159.345047927,1.13904761905,-21.9102,-19.03995
178,8134-12702,0.0,0.310342195227,0.136835386055,112.619808359,-51.5175718364,261.182108632,191.693290739,1.1071919377,-21.48955,-18.4102
179,8137-12702,0.0,0.231759358079,0.129498249354,82.6677316809,-43.1309903666,231.230031954,179.712460068,1.1313312416,-20.43615,-18.39385
180,8247-12702,0.0,0.583911120402,0.146679085593,68.2907348755,-96.7452076202,216.853035149,181.210063902,1.12395309883,-19.9635,-18.0142
181,8140-12702,0.0,0.384815354776,0.0716943666725,62.3003195399,-81.4696485144,249.201277961,153.354632591,1.2380952381,-19.36895,-16.3064
182,8626-12702,0.0,0.62174442565,0.130610557084,63.7979233738,-61.1022363734,406.150159753,191.393769972,1.17056074766,-20.87855,-17.3683
183,8135-12702,0.0,0.219433100768,0.0996398632356,117.412140627,-40.7348242324,225.239616618,167.731629397,1.19513755598,-20.83595,-18.2334
184,8250-12702,0.0,0.549932064656,0.17061589658,82.9672524477,-61.1022363734,209.664536746,183.306709269,1.16830985915,-19.81445,-17.47135
185,8612-12702,0.0,0.310934414932,0.15887381966,106.629393023,-89.8562299842,251.597444095,183.306709269,1.14705882353,-22.24785,-19.495
186,8141-12702,0.0,0.268588111447,0.140624546198,126.996805164,-58.7060702391,262.380191699,190.495207672,1.11906092789,-21.12755,-18.1252
187,8253-12702,0.0,0.317276604886,0.0902576495335,135.383386634,-114.41693286,451.07827477,147.963258789,1.38766519824,-22.8171,-18.80515
188,8254-12702,0.0,0.660931437093,0.165352500152,83.5662939812,-64.6964855747,227.635782753,188.099041538,1.09139784946,-18.7657,-16.2898
189,8448-12702,0.0,1.6341159273,0.28519918605,159.345047976,37.1405751304,219.249201283,197.683706075,1.11901840491,-19.5864,-17.6566
190,8548-12702,0.0,0.24359140672,0.128997473033,46.7252396673,-52.7156549035,256.389776363,178.514377001,1.21125206839,-20.4736,-17.91355
191,8549-12702,0.0,0.335253286038,0.167706864059,159.345047976,-76.6773162459,259.984025565,194.089456873,1.24613455913,-21.911,-18.4827
