,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
42,8481-6103,1.727258743,1.727258743,235.523961716,235.523961716,371.602921049,371.602921049,1.58057142857,1.0
43,8482-3703,2.28914886379,2.28914886379,46.2943501432,46.2943501432,404.694593922,404.694593922,1.59649122807,1.0
44,8486-12705,1.12206570768,1.12206570768,-42.7296174499,-42.7296174499,260.527237031,260.527237031,1.14231738035,1.0
45,8547-12702,1.07593773386,1.07593773386,65.7194336749,65.7194336749,262.451837863,262.451837863,1.28239202658,1.0
46,8549-12701,1.55558103257,1.55558103257,-14.4202337465,-14.4202337465,291.009355933,291.009355933,1.24970896391,1.0
47,8549-3703,0.28222794638,0.28222794638,29.1295940729,29.1295940729,253.091620918,253.091620918,1.12471395881,1.0
48,8552-12701,0.762707956554,0.762707956554,35.5565150319,35.5565150319,268.185389869,268.185389869,1.16540540541,1.0
49,8555-3703,0.26528902502,0.26528902502,-0.729460120329,-0.729460120329,268.733126634,268.733126634,1.15498154982,1.0
50,8588-12701,1.16880785099,1.16880785099,17.9839409764,17.9839409764,226.636057809,226.636057809,1.15099337748,1.0
51,8588-12704,0.829353110729,0.829353110729,44.0311431421,44.0311431421,270.464601776,270.464601776,1.23805309735,1.0
52,8588-6104,0.317823528554,0.317823528554,5.97645713596,5.97645713596,259.946803567,259.946803567,1.22912621359,1.0
53,8601-12701,0.902179071887,0.902179071887,-24.3029271141,-24.3029271141,297.668329982,297.668329982,1.31097560976,1.0
54,8611-1902,0.494889569507,0.494889569507,40.7426209677,40.7426209677,255.547739674,255.547739674,1.20607375271,1.0
55,8612-12704,5.01701516112,5.01701516112,32.4959988042,32.4959988042,318.67749651,318.67749651,1.26003824092,1.0
56,8613-9101,1.06017885631,1.06017885631,27.8092051108,27.8092051108,262.516970738,262.516970738,1.13530655391,1.0
57,8623-12705,2.28757348133,2.28757348133,4.68909613551,4.68909613551,209.621068879,209.621068879,1.12698412698,1.0
58,8623-6101,10.4369335186,10.4369335186,28.1993255739,28.1993255739,367.900248499,367.900248499,1.5,1.0
59,8626-6102,0.3280614499,0.3280614499,-13.2310042568,-13.2310042568,372.530907079,372.530907079,1.30724637681,1.0
60,8711-12701,8.88748819704,8.88748819704,110.957062015,110.957062015,319.073049274,319.073049274,1.42481511915,1.0
61,8711-1902,1.41744952699,1.41744952699,-11.3238173266,-11.3238173266,250.162643002,250.162643002,1.29435483871,1.0
62,8715-12705,1.31988025599,1.31988025599,-31.3293601542,-31.3293601542,265.441959537,265.441959537,1.37179487179,1.0
63,8715-3702,33.5286084194,33.5286084194,14.6077653501,14.6077653501,964.808402386,964.808402386,1.65269461078,1.0
64,8717-1902,0.935008276595,0.935008276595,-12.5077362636,-12.5077362636,435.462422437,435.462422437,1.29319371728,1.0
65,8718-12701,2.05316030683,2.05316030683,23.0583067595,23.0583067595,248.131389782,248.131389782,1.197,1.0
66,8718-12702,1.44570509111,1.44570509111,22.7894589391,22.7894589391,266.572219965,266.572219965,1.15437302424,1.0
67,8718-3701,0.563247678801,0.563247678801,116.025526722,116.025526722,419.766951567,419.766951567,1.56345177665,1.0
68,8719-12701,1.5782775012,1.5782775012,-15.3910121911,-15.3910121911,221.015921855,221.015921855,1.16735253772,1.0
69,8719-9101,9.06742918614,9.06742918614,6.1688532889,6.1688532889,602.788729535,602.788729535,1.6170212766,1.0
