,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss
113,8720-12701,0.0,0.693334622248,0.693334622248,-76.9610727618,-76.9610727618,575.314584397,575.314584397,1.93274853801
114,8591-12701,0.0,0.437980306584,0.437980306584,19.3911158257,19.3911158257,213.36424335,213.36424335,1.18784029038
115,8592-12701,0.0,1.8208142498,1.8208142498,13.5830009763,13.5830009763,198.990963575,198.990963575,1.12071005917
116,8949-12701,0.0,0.202118521339,0.202118521339,40.3612285366,40.3612285366,164.884571786,164.884571786,1.12903225806
117,8952-12701,0.0,0.67608537195,0.67608537195,43.9149451417,43.9149451417,249.879292815,249.879292815,1.17202572347
118,8600-12701,0.0,1.2196610313,1.2196610313,38.1739652686,38.1739652686,218.813112964,218.813112964,1.2013552759
119,8934-12701,0.0,0.711082567801,0.711082567801,32.7386586591,32.7386586591,232.806844314,232.806844314,1.20989884393
120,8333-12701,0.0,4.51342348988,4.51342348988,72.084664588,72.084664588,342.244908154,342.244908154,1.51458333333
121,8979-12701,0.0,1.39999575778,1.39999575778,36.1247874553,36.1247874553,235.351795342,235.351795342,1.24668325041
122,8595-12701,0.0,0.891933538573,0.891933538573,-27.598699175,-27.598699175,148.840426749,148.840426749,1.30357142857
123,8987-12701,0.0,9.59760431512,9.59760431512,-6.78064028762,-6.78064028762,169.069913674,169.069913674,1.6170212766
124,8942-12701,0.0,0.361683959368,0.361683959368,4.02991582091,4.02991582091,240.674660808,240.674660808,1.14935064935
125,8948-12701,0.0,0.813842424405,0.813842424405,21.6950685049,21.6950685049,204.744978572,204.744978572,1.16144200627
126,8939-12701,0.0,3.82819779536,3.82819779536,-33.6868720795,-33.6868720795,199.957017095,199.957017095,1.47908121411
127,8946-12701,0.0,8.90448976137,8.90448976137,-54.9064353691,-54.9064353691,92.1839342786,92.1839342786,1.17142857143
128,8945-12701,0.0,1.37279962055,1.37279962055,17.8226742476,17.8226742476,201.389285085,201.389285085,1.14087301587
129,8980-12701,0.0,0.794391644788,0.794391644788,23.3926289144,23.3926289144,199.648349582,199.648349582,1.13189600507
130,8597-12701,0.0,0.340273170245,0.340273170245,-0.645504539106,-0.645504539106,209.000778814,209.000778814,1.20637119114
131,8931-12701,0.0,0.532462254547,0.532462254547,4.08842991781,4.08842991781,211.688542131,211.688542131,1.12603437301
132,9029-12701,0.0,0.792302101485,0.792302101485,8.86082273359,8.86082273359,263.242448452,263.242448452,1.17613636364
133,9042-12701,0.0,1.02957119401,1.02957119401,28.9540042222,28.9540042222,267.414120884,267.414120884,1.20991735537
134,9026-12701,0.0,2.11695360382,2.11695360382,24.9868667012,24.9868667012,374.662285318,374.662285318,1.28187919463
135,9002-12701,0.0,1.18843573416,1.18843573416,43.5093324872,43.5093324872,211.035196875,211.035196875,1.26592797784
136,8613-12701,0.0,0.655275006597,0.655275006597,0.385694725288,0.385694725288,222.489643951,222.489643951,1.18377693283
137,9041-12701,0.0,0.630107083591,0.630107083591,25.1862017978,25.1862017978,262.787713692,262.787713692,1.15754779169
138,8553-12701,0.0,0.32562655441,0.32562655441,6.45418947578,6.45418947578,181.555664786,181.555664786,1.1017369727
139,7443-12702,0.0,0.473829166294,0.473829166294,39.4296165268,39.4296165268,220.239890858,220.239890858,1.1773962804
140,7495-12702,0.0,0.490339526417,0.490339526417,13.3709290204,13.3709290204,214.834000728,214.834000728,1.10412667946
141,7815-12702,0.0,0.717984682477,0.717984682477,-7.63274554073,-7.63274554073,218.964782403,218.964782403,1.18907563025
142,8341-12702,0.0,0.535165882249,0.535165882249,0.815521219658,0.815521219658,422.396441038,422.396441038,1.21797323136
143,8329-12702,0.0,0.707183145208,0.707183145208,-2.99278794659,-2.99278794659,200.393738171,200.393738171,1.16099249856
144,8243-12702,0.0,0.408680470054,0.408680470054,-0.368085711897,-0.368085711897,203.456698203,203.456698203,1.1234939759
145,8439-12702,0.0,0.455832376998,0.455832376998,24.5791538969,24.5791538969,221.534661589,221.534661589,1.22792607803
146,8326-12702,0.0,0.413596736623,0.413596736623,17.4893834488,17.4893834488,207.617620971,207.617620971,1.19608778626
147,8602-12702,0.0,2.97775847159,2.97775847159,5.51064610337,5.51064610337,267.231490024,267.231490024,1.18791946309
148,8588-12702,0.0,1.2961337147,1.2961337147,9.03736610689,9.03736610689,225.957288568,225.957288568,1.12745786517
149,8615-12702,0.0,1.38871724942,1.38871724942,-7.39415833123,-7.39415833123,218.323984034,218.323984034,1.15225643189
150,7991-12702,0.0,0.981272578198,0.981272578198,55.7979028935,55.7979028935,452.056197274,452.056197274,1.64102564103
151,7977-12702,0.0,0.916555607279,0.916555607279,0.891755059873,0.891755059873,424.945087869,424.945087869,1.93181818182
152,7990-12702,0.0,0.668832489821,0.668832489821,7.11428091727,7.11428091727,206.807161643,206.807161643,1.20796460177
153,8459-12702,0.0,0.728755338266,0.728755338266,23.2179381978,23.2179381978,209.424721938,209.424721938,1.17576509512
154,8483-12702,0.0,0.187494439345,0.187494439345,3.81532410272,3.81532410272,205.15746235,205.15746235,1.09523809524
155,8618-12702,0.0,0.821068476059,0.821068476059,-55.3899474641,-55.3899474641,251.447683712,251.447683712,1.32142857143
156,8317-12702,0.0,1.8034530453,1.8034530453,-1.66733221872,-1.66733221872,340.9345048,340.9345048,1.3
157,8261-12702,0.0,1.07446928355,1.07446928355,157.446315213,157.446315213,227.03171664,227.03171664,1.89608574091
158,8451-12702,0.0,3.31187954035,3.31187954035,94.2611387516,94.2611387516,323.804738512,323.804738512,1.19836956522
159,8482-12702,0.0,3.80385220225,3.80385220225,-24.7208426421,-24.7208426421,211.111726193,211.111726193,1.31683168317
160,8082-12702,0.0,0.857894425613,0.857894425613,67.6566583145,67.6566583145,284.407460055,284.407460055,1.27516778523
161,8143-12702,0.0,0.368607117365,0.368607117365,12.3885366004,12.3885366004,221.530923661,221.530923661,1.23731343284
162,8256-12702,0.0,1.22828364601,1.22828364601,25.4378923873,25.4378923873,201.4874693,201.4874693,1.15477386935
163,8249-12702,0.0,0.559480424007,0.559480424007,13.6731230532,13.6731230532,238.081569494,238.081569494,1.2375
164,8274-12702,0.0,0.977140377639,0.977140377639,30.355257725,30.355257725,187.792748997,187.792748997,1.21565217391
165,8258-12702,0.0,0.551438883859,0.551438883859,23.5387652818,23.5387652818,199.314981853,199.314981853,1.13014119091
166,8259-12702,0.0,0.69390445134,0.69390445134,4.63560633555,4.63560633555,209.798276251,209.798276251,1.0988372093
167,8244-12702,0.0,0.371472880644,0.371472880644,6.7112675928,6.7112675928,196.891436102,196.891436102,1.13370473538
168,8257-12702,0.0,1.9998322909,1.9998322909,10.6704042693,10.6704042693,209.814574292,209.814574292,1.15977791487
169,8440-12702,0.0,4.18313779747,4.18313779747,-46.433813957,-46.433813957,213.971159663,213.971159663,1.63513513514
170,8453-12702,0.0,1.2581558175,1.2581558175,35.5662678256,35.5662678256,212.734687477,212.734687477,1.10411418976
171,8611-12702,0.0,0.895860606323,0.895860606323,10.3936794412,10.3936794412,217.351893333,217.351893333,1.08419243986
172,8131-12702,0.0,0.77585667937,0.77585667937,-36.8973551602,-36.8973551602,725.524874502,725.524874502,1.66165413534
173,8083-12702,0.0,1.21851555234,1.21851555234,40.8670749041,40.8670749041,274.564136178,274.564136178,1.23933975241
174,8138-12702,0.0,0.760408893309,0.760408893309,18.9351529663,18.9351529663,247.197770838,247.197770838,1.26653504442
175,8081-12702,0.0,0.28730421329,0.28730421329,12.082186989,12.082186989,192.930356986,192.930356986,1.11713665944
176,8452-12702,0.0,0.79168468701,0.79168468701,33.6188323971,33.6188323971,231.428561569,231.428561569,1.20461095101
177,8132-12702,0.0,0.544991220955,0.544991220955,20.1837061204,20.1837061204,222.757873122,222.757873122,1.13904761905
178,8134-12702,0.0,0.354332744637,0.354332744637,27.7024466351,27.7024466351,247.400586003,247.400586003,1.1071919377
179,8137-12702,0.0,0.208940549203,0.208940549203,16.0186552756,16.0186552756,227.380700074,227.380700074,1.1313312416
180,8247-12702,0.0,0.709194949135,0.709194949135,-12.0069195325,-12.0069195325,204.529034956,204.529034956,1.12395309883
181,8140-12702,0.0,1.28071638236,1.28071638236,-10.9886293237,-10.9886293237,217.297045229,217.297045229,1.2380952381
182,8626-12702,0.0,0.942780987916,0.942780987916,-3.37030839146,-3.37030839146,348.303462132,348.303462132,1.17056074766
183,8135-12702,0.0,0.472162238357,0.472162238357,32.2547264613,32.2547264613,219.774272876,219.774272876,1.19513755598
184,8250-12702,0.0,0.466578813874,0.466578813874,15.3143702971,15.3143702971,202.57897224,202.57897224,1.16830985915
185,8612-12702,0.0,0.451601713708,0.451601713708,11.3296986192,11.3296986192,264.015426985,264.015426985,1.14705882353
186,8141-12702,0.0,0.277841057997,0.277841057997,29.8904648539,29.8904648539,233.164109035,233.164109035,1.11906092789
187,8253-12702,0.0,3.01549478608,3.01549478608,26.3261601325,26.3261601325,327.731136796,327.731136796,1.38766519824
188,8254-12702,0.0,0.869488238135,0.869488238135,7.71668561102,7.71668561102,210.613555949,210.613555949,1.09139784946
189,8448-12702,0.0,2.10351505374,2.10351505374,102.376565645,102.376565645,210.666369396,210.666369396,1.11901840491
190,8548-12702,0.0,0.365777971661,0.365777971661,-5.87014439886,-5.87014439886,239.007989869,239.007989869,1.21125206839
191,8549-12702,0.0,0.639698262389,0.639698262389,38.9469619696,38.9469619696,246.144739254,246.144739254,1.24613455913
192,8465-12702,0.0,0.432642398635,0.432642398635,26.8200936808,26.8200936808,215.755369448,215.755369448,1.11560693642
193,8552-12702,0.0,4.7845160295,4.7845160295,4.76568851385,4.76568851385,210.280008625,210.280008625,1.2942920682
194,8325-12702,0.0,2.31894602336,2.31894602336,14.3693281796,14.3693281796,224.091674891,224.091674891,1.28409650419
195,8481-12702,0.0,0.668102284262,0.668102284262,5.33221954173,5.33221954173,226.20774772,226.20774772,1.15716272601
196,8485-12702,0.0,0.449104385414,0.449104385414,-14.8306515727,-14.8306515727,225.273399424,225.273399424,1.15105740181
197,8551-12702,0.0,1.14979318355,1.14979318355,61.3426161964,61.3426161964,284.013094978,284.013094978,1.25796178344
198,8447-12702,0.0,1.38193287656,1.38193287656,30.7315176126,30.7315176126,239.81255821,239.81255821,1.24924562462
199,8486-12702,0.0,1.5011737152,1.5011737152,-4.82543433561,-4.82543433561,208.080974189,208.080974189,1.16310160428
200,8466-12702,0.0,0.884151391926,0.884151391926,18.6729746828,18.6729746828,220.550976209,220.550976209,1.15296880242
201,8554-12702,0.0,0.509664648927,0.509664648927,-8.70167360293,-8.70167360293,231.618401389,231.618401389,1.1880733945
202,8312-12702,0.0,0.992011269421,0.992011269421,27.306689444,27.306689444,242.435875928,242.435875928,1.1209398756
203,8550-12702,0.0,0.548212444313,0.548212444313,34.7926290577,34.7926290577,257.035183341,257.035183341,1.36842105263
204,8335-12702,0.0,0.344041861472,0.344041861472,6.10284546783,6.10284546783,204.612912599,204.612912599,1.09208211144
205,8606-12702,0.0,6.21501653292,6.21501653292,39.2129350303,39.2129350303,68.9869182296,68.9869182296,1.25675675676
206,7957-12702,0.0,1.28235948573,1.28235948573,9.02480789901,9.02480789901,239.613540103,239.613540103,1.15348439504
207,8313-12702,0.0,1.45417402718,1.45417402718,3.36316136454,3.36316136454,229.783803546,229.783803546,1.12779661017
208,7962-12702,0.0,0.834505744882,0.834505744882,25.905256511,25.905256511,224.581071437,224.581071437,1.22731614136
209,8330-12702,0.0,1.18696366009,1.18696366009,75.1933788582,75.1933788582,269.556162617,269.556162617,1.29752851711
210,8315-12702,0.0,2.04802519267,2.04802519267,3.02037752982,3.02037752982,575.39197789,575.39197789,1.47058823529
211,7992-12702,0.0,0.448818616646,0.448818616646,35.9293982592,35.9293982592,384.512648623,384.512648623,1.32786885246
212,8603-12702,0.0,1.41011344182,1.41011344182,-82.2683705591,-82.2683705591,102.356230034,102.356230034,1.2
213,8601-12702,0.0,0.540497003306,0.540497003306,24.6929425956,24.6929425956,209.154350259,209.154350259,1.08147632312
214,8655-12702,0.0,0.919708605106,0.919708605106,-10.6455437676,-10.6455437676,214.16204421,214.16204421,1.07770961145
